DPO_loss_step,mean_preferred_ratios_step,mean_rejected_ratios_step,epoch,step,DPO_loss_epoch,mean_preferred_ratios_epoch,mean_rejected_ratios_epoch,max_norm
0.6930550336837769,-4.668922429118538e-06,-0.00018906750483438373,4,3049,,,,
0.6930477023124695,8.323322981595993e-05,-0.00011577528493944556,4,3099,,,,
0.6931072473526001,2.254956962133292e-05,-5.730203338316642e-05,4,3149,,,,
0.6930361390113831,9.720411981106736e-06,-0.00021237459441181272,4,3199,,,,
0.6931050419807434,-3.0171815524226986e-05,-0.00011446943244663998,4,3249,,,,
0.6931217312812805,-7.448309770552441e-05,-0.00012540785246528685,4,3299,,,,
0.6930550336837769,6.513058906421065e-05,-0.00011924318823730573,4,3349,,,,
0.6930521130561829,8.477121446048841e-05,-0.00010542881500441581,4,3399,,,,
0.6930293440818787,9.135079017141834e-05,-0.0001443552173441276,4,3449,,,,
,,,4,3464,0.6930803656578064,3.156444290652871e-05,-0.00010173659393331036,0.7722346782684326
