val_ce_loss,val_kl_divergence,epoch,step,train_ce_loss
2094.73388671875,8508.6904296875,38,267188,
,9069.80859375,38,267188,1413.1468505859375
1829.52392578125,8122.71484375,39,274039,
,8987.2294921875,39,274039,1408.372802734375
1848.275146484375,8454.4072265625,40,280890,
,8895.6611328125,40,280890,1403.8193359375
1893.1722412109373,8143.04931640625,41,287741,
,8821.0009765625,41,287741,1400.8167724609375
1797.13916015625,8264.9111328125,42,294592,
,8745.8427734375,42,294592,1399.297607421875
1880.584716796875,8142.0400390625,43,301443,
,8686.5732421875,43,301443,1396.493896484375
1761.471923828125,7969.62353515625,44,308294,
,8605.677734375,44,308294,1393.2916259765625
1932.588134765625,7668.5546875,45,315145,
,8553.1708984375,45,315145,1389.98095703125
1775.8828125,7846.2001953125,46,321996,
,8496.810546875,46,321996,1385.4962158203125
1821.1953125,7908.521484375,47,328847,
,8447.3408203125,47,328847,1384.48388671875
1807.7130126953125,7716.39306640625,48,335698,
,8392.8310546875,48,335698,1383.7401123046875
1894.0985107421875,7710.89013671875,49,342549,
,8346.0986328125,49,342549,1379.882568359375
2734.508056640625,7439.74462890625,50,349400,
,8287.54296875,50,349400,1376.9193115234375
1834.299072265625,7592.9033203125,51,356251,
,8250.4853515625,51,356251,1374.923583984375
1951.9249267578125,7575.9541015625,52,363102,
,8213.5830078125,52,363102,1373.3104248046875
1799.09765625,7577.369140625,53,369953,
,8166.49169921875,53,369953,1371.5037841796875
2005.48681640625,7439.19775390625,54,376804,
,8134.224609375,54,376804,1370.8843994140625
2819.48681640625,7393.34814453125,55,383655,
,8094.68359375,55,383655,1370.0159912109375
1817.2691650390625,7514.39990234375,56,390506,
,8049.5263671875,56,390506,1367.133544921875
1830.82177734375,7354.53662109375,57,397357,
,8017.62158203125,57,397357,1364.23095703125
2151.4892578125,7242.29833984375,58,404208,
,7982.37548828125,58,404208,1361.897216796875
1819.510009765625,7435.3291015625,59,411059,
,7947.87646484375,59,411059,1360.4141845703125
1772.8345947265625,7323.48046875,60,417910,
,7911.6103515625,60,417910,1358.916259765625
1801.6571044921875,7295.75048828125,61,424761,
,7885.5654296875,61,424761,1356.881103515625
1780.4395751953125,7229.53515625,62,431612,
,7859.2841796875,62,431612,1356.031494140625
1947.04150390625,7299.07568359375,63,438463,
,7828.294921875,63,438463,1354.1580810546875
1801.97607421875,7120.1416015625,64,445314,
,7795.52587890625,64,445314,1352.857421875
1774.469482421875,7205.88427734375,65,452165,
,7765.49169921875,65,452165,1352.7864990234375
3089.869873046875,7126.42529296875,66,459016,
,7737.07666015625,66,459016,1351.1455078125
1890.1700439453125,7072.66455078125,67,465867,
,7702.68310546875,67,465867,1349.2081298828125
1780.9873046875,7265.08251953125,68,472718,
,7680.74365234375,68,472718,1348.123779296875
1820.188232421875,7237.38037109375,69,479569,
,7663.388671875,69,479569,1347.2769775390625
1742.187744140625,7118.77294921875,70,486420,
,7632.77099609375,70,486420,1346.571044921875
1864.2615966796875,7082.42919921875,71,493271,
,7604.48779296875,71,493271,1346.091552734375
1790.69140625,7087.53857421875,72,500122,
,7581.63720703125,72,500122,1345.106201171875
